"filename", "language", "Markdown", "Ini", "Swift", "JSON with Comments", "C++", "YAML", "CMake", "XML", "JSON", "Dart", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\windows\runner\resource.h", "C++", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, 0, 0, -2, -10, -66
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\windows\runner\utils.h", "C++", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, -210, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 11, 3, 54
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 0, 2, 114, 664
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\assets\icon\desktop.ini", "Ini", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
